name,price,facilities,tipe
Kost Singgahsini Opung Erwin Tipe A Mojo Surabaya Kecamatan Gubeng,Rp1.605.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam, 4.6",Campur
Kost Singgahsini Graha Ara Dharmahusada Tipe B Gubeng Surabaya Kecamatan Gubeng,Rp2.708.750 (Bulan pertama),"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam, 4.8",Campur
Kost Singgahsini Kertajaya Utimami Tipe A Gubeng Surabaya Gubeng,Rp1.521.000 (Bulan pertama),"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur, Kasur, 4.5",Putri
Kost Singgahsini Graha Ara Dharmahusada Tipe A Gubeng Surabaya Kecamatan Gubeng,Rp3.359.500 (Bulan pertama),"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam, 5.0",Campur
Kost Singgahsini Kertajaya Utimami Tipe C Gubeng Surabaya Gubeng,Rp1.609.000 (Bulan pertama),"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur, Kasur",Putri
Kost Singgahsini Kertajaya Utimami Tipe B Gubeng Surabaya Gubeng,Rp1.564.000 (Bulan pertama),"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur, Kasur",Putri
Kost Singgahsini Gubeng Kertajaya 21 Tipe B Surabaya Kecamatan Gubeng,Rp918.400 (Bulan pertama),"WiFi ·, WiFi, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam, 4.8",Putri
Kost Singgahsini Gubeng Kertajaya 21 Tipe A Surabaya Kecamatan Gubeng,Rp1.439.200 (Bulan pertama),"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam, 4.9",Putri
Kost Ibu Dewi Gubeng Surabaya Kecamatan Gubeng,Rp1.200.000 /bulan,"WiFi ·, WiFi, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Campur
Sisa 1 kamar"
Kost 125 Tipe B Tambaksari Surabaya Kecamatan Tambaksari,Rp1.700.000 /bulan,"WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Putri"
Kost Bu Minarti I Gubeng Surabaya Gubeng,Rp950.000 /bulan,"WiFi ·, WiFi, ·, AC ·, AC, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Putri
Sisa 2 kamar"
Kost Diniyo Tipe A Tegalsari Surabaya Kecamatan Tegalsari,Rp750.000 /bulan,"WiFi ·, WiFi, ·, Kasur, Kasur","Campur
Sisa 2 kamar"
Kost Residence Lantai 1 Tambaksari Surabaya Tambaksari,Rp1.900.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam, 4.5","Kos Andalan
Campur"
Kost Sabaya House Tipe Single Gubeng Surabaya Gubeng,Rp3.250.000 /bulan,"WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam, 5.0","Kos Andalan
Campur"
Kost Pajajaran Tegalsari Surabaya Kecamatan Tegalsari,Rp2.200.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Campur"
Kost Griya Kencana Tambaksari Surabaya Kecamatan Tambaksari,Rp1.000.000 /bulan,"WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Campur"
Kost Sumbawa 4 Gubeng Surabaya Gubeng,Rp1.950.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur, Kasur","Kos Andalan
Campur"
Kost Kalpom 97 Tegalsari Surabaya Tegalsari,Rp450.000 /bulan,"Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Putra"
Kost Jl Kedondong Lor Tipe Deluxe Genteng Surabaya Genteng,Rp1.650.000 /bulan,"WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur, Kasur, 4.6","Kos Andalan
Putri"
Kost Timur Gubeng Surabaya Gubeng,Rp1.300.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Akses 24 Jam, Akses 24 Jam, 5.0","Kos Andalan
Campur"
Kost Vip Airlangga Executive Gubeng Surabaya Gubeng,Rp1.650.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Putra"
Kost Utara Gubeng Surabaya Kecamatan Gubeng,Rp1.300.000 /bulan,"AC ·, AC, ·, Kasur, Kasur","Kos Andalan
Campur"
Kost Umah Utara Non AC Gubeng Surabaya Gubeng,Rp1.100.000 /bulan,"WiFi ·, WiFi, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Putri"
Kost Barat Gubeng Surabaya Gubeng,Rp1.900.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, AC ·, AC, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam, 4.0","Kos Andalan
Campur"
Kost Cika Indah Tambaksari Surabaya Tambaksari,Rp2.000.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur, Kasur, 4.6","Kos Andalan
Putri"
Kost Denaya Guest House Tipe A Gubeng Surabaya Kecamatan Gubeng,Rp2.000.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Campur"
Kost Residence Tipe A Tambaksari Surabaya Tambaksari,Rp1.600.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam, 4.9","Kos Andalan
Campur"
Kost Wira Gubeng Surabaya Gubeng,Rp1.900.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam, 3.4","Kos Andalan
Campur"
Kost V Gubeng Surabaya Kecamatan Gubeng,Rp1.800.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Putri"
Kost Pak Mulyono Tegalsari Surabaya Tegalsari,Rp1.600.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam, 5.0","Kos Andalan
Campur"
Kost Rosse Wonokromo Surabaya Wonokromo,Rp750.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam, 5.0","Kos Andalan
Putri"
Kos 081358238800 Tambaksari Surabaya Tambaksari,Rp650.000 /bulan,"WiFi ·, WiFi, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Putra"
Kost Muntini Tipe G Mulyorejo Surabaya Kecamatan Mulyorejo,Rp1.750.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Putri"
Kost Fitriyah Gubeng Surabaya Kecamatan Gubeng,Rp700.000 /bulan,"Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Putri"
Kost Griya Lestari 2 Tipe A Tambaksari Surabaya Tambaksari,Rp1.300.000 /bulan,"WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Campur"
Kost Jojoran Baru 1 No 19 Gubeng Surabaya Gubeng,Rp550.000 /bulan,"WiFi ·, WiFi, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Putri"
Kost Residence VIP 226 Tambaksari Surabaya Kecamatan Tambaksari,Rp2.200.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Campur"
Kost putri Pandegiling Tegalsari Surabaya Kecamatan Tegalsari,Rp1.400.000 /bulan,"WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur, Kasur","Kos Andalan
Putri"
Kost Griya Lestari Gemini Exclusive Tambaksari Surabaya Kecamatan Tambaksari,Rp2.300.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Campur"
Kost Cokroaminoto 10C Tegalsari Surabaya Tegalsari,Rp1.600.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur, Kasur","Kos Andalan
Campur"
Kost Ayatul Muslimah Tipe B Gubeng Surabaya Kecamatan Gubeng,Rp800.000 /bulan,"WiFi ·, WiFi, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Putri"
Kost Residence 225 Tambaksari Surabaya Tambaksari,Rp2.000.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Campur"
Kost Pink Gubeng Surabaya Gubeng,Rp700.000 /bulan,"WiFi ·, WiFi, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Putri"
Kost Stayvie Coliving Duo Premium Suite Tegalsari Surabaya Kecamatan Tegalsari,Rp8.250.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Campur"
Kost Griya Ploso Timur VA No 60 Tambaksari Surabaya Tambaksari,Rp2.000.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam, 2.8","Kos Andalan
Campur"
Kost Hygeira Ploso Timur Tambaksari Surabaya Tambaksari,Rp600.000 /bulan,"WiFi ·, WiFi, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Putra"
Kost Diaz Tambaksari Surabaya Tambaksari,Rp1.500.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam, 4.9","Kos Andalan
Putri"
Kost Residence 224 Tambaksari Surabaya Tambaksari,Rp2.200.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Campur"
Kost Wira Gubeng 2 Gubeng Surabaya Gubeng,Rp1.800.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur, Kasur","Kos Andalan
Campur"
Kost Miky Non AC Gubeng Surabaya Kecamatan Gubeng,Rp800.000 /bulan,"WiFi ·, WiFi, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Putra"
Kost Miky Tipe AC Gubeng Surabaya Kecamatan Gubeng,Rp1.300.000 /bulan,"WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Putra"
Kost Jojoran Free Listrik Tipe B Gubeng Surabaya Gubeng,Rp1.750.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Putri"
Kost Muntini Tipe C1 Mulyorejo Surabaya Kecamatan Mulyorejo,Rp2.200.000 /bulan,"K. Mandi Dalam ·, K. Mandi Dalam, ·, WiFi ·, WiFi, ·, AC ·, AC, ·, Kloset Duduk ·, Kloset Duduk, ·, Kasur ·, Kasur, ·, Akses 24 Jam, Akses 24 Jam","Kos Andalan
Putri"
